OD,Dia.,Lg. Max,Min.,Max.,"Rate, lbs./mm",Rate N/mm,Material,Pkg. Qty.,Part Number,Pkg.,Lg.
12.7,1.8288,111.76,5,23,0.488937008,2.174900167,302 Stainless Steel,1,9433K497,9.63,76.20
12.7,1.905,110.236,2.29,25.41,0.682125984,3.034247548,302 Stainless Steel,2,9433K984,15.96,76.20
14.2748,1.3716,177.8,1,8.7,0.074251969,0.330289211,302 Stainless Steel,1,9433K498,10.97,76.20
15.875,1.6002,161.544,1.3,13.87,0.147244094,0.654974364,302 Stainless Steel,3,9433K93,10.4,76.20
15.875,1.7526,139.446,1.74,17.16,0.242913386,1.080532573,302 Stainless Steel,3,9433K99,10.4,76.20
16.51,1.397,198.882,0.75,8.41,0.062322835,0.27722578,302 Stainless Steel,3,9433K996,15.14,76.20
16.6624,1.5748,171.1452,2,12.5,0.115669291,0.514522642,302 Stainless Steel,1,9433K501,14.88,76.20
19.05,1.2446,272.796,0.49,5.51,0.026220472,0.116634472,302 Stainless Steel,2,1942N779,13.95,76.20
19.05,1.3716,218.44,0.7,6.4,0.040826772,0.181606528,302 Stainless Steel,1,9433K566,8.97,76.20
19.05,1.6002,161.798,1.2,9.1,0.092362205,0.410847555,302 Stainless Steel,1,9433K331,9.41,76.20
19.05,1.7526,165.1,1.29,14.38,0.147598425,0.656550505,302 Stainless Steel,2,1942N795,14.91,76.20
19.05,1.905,149.098,1.74,18.48,0.229527559,1.020989449,302 Stainless Steel,3,9433K113,11.09,76.20
19.05,2.159,116.84,2.8,20.95,0.444488189,1.97718197,302 Stainless Steel,1,9433K324,8.74,76.20
19.05,2.3114,121.92,6,29,0.512677165,2.280501649,302 Stainless Steel,1,9433K499,11.7,76.20
19.05,2.413,116.078,3.09,34.33,0.780511811,3.471889509,302 Stainless Steel,1,1942N81,8.63,76.20
19.05,2.667,108.458,4.12,45.78,1.295433071,5.762373387,302 Stainless Steel,1,1942N821,10.77,76.20
19.05,3.175,96.012,6.59,73.25,3.368070866,14.98192563,302 Stainless Steel,1,1942N841,9.88,76.20
20.6248,2.286,120.396,5,26,0.460551181,2.048633719,302 Stainless Steel,1,9433K494,9.93,76.20
21.59,1.6002,212.598,0.83,9.41,0.062322835,0.27722578,302 Stainless Steel,2,1942N853,16.02,76.20
21.59,1.905,161.544,1.42,15.33,0.163976378,0.729403269,302 Stainless Steel,2,1942N858,14.71,76.20
21.59,2.159,139.446,2,21.57,0.311574803,1.385953774,302 Stainless Steel,1,1942N867,8.8,76.20
22.225,1.905,140.462,1.7,12.7,0.171062992,0.760926099,302 Stainless Steel,1,9433K321,8.18,76.20
25.4,2.159,151.384,1.67,18.49,0.222992126,0.991918395,302 Stainless Steel,1,1942N889,10.18,76.20
25.4,2.667,120.396,3.17,35.19,0.72476378,3.22390991,302 Stainless Steel,2,1942N908,17.01,76.20
25.4,2.921,112.014,4.08,45.23,1.147834646,5.105822882,302 Stainless Steel,1,1942N921,8.95,76.20
25.4,3.175,106.172,5.09,56.54,1.718464567,7.644111232,302 Stainless Steel,1,1942N934,10.82,76.20
25.4,3.429,101.092,6.3,69.96,2.548188976,11.33490928,302 Stainless Steel,1,1942N947,8.78,76.20
25.4,3.7592,96.266,8.06,89.61,4.063346457,18.07466554,302 Stainless Steel,1,1942N96,13,76.20
11.0998,1.8288,107.442,8,28,0.748031496,3.32740987,302 Stainless Steel,1,9433K502,7.26,79.38
19.05,2.667,94.742,13.12,32.16,1.238582677,5.509490237,302 Stainless Steel,1,9433K409,5,79.38
6.096,0.9398,131.064,0.67,7.25,0.137755906,0.612768797,302 Stainless Steel,5,9433K636,15.86,82.55
6.35,0.9398,133.35,1.89,5,0.122992126,0.547096233,316 Stainless Steel,2,1942N322,11.24,82.55
6.35,1.1684,107.442,4,14,0.411968504,1.832527204,302 Stainless Steel,1,9433K506,8.39,82.55
9.525,1.397,122.428,3,15,0.27484252,1.222560437,302 Stainless Steel,1,9433K503,8.67,82.55
14.2748,2.3114,107.95,12,41,1.153503937,5.131041146,302 Stainless Steel,1,9433K567,10.97,82.55
16.6624,1.5748,186.69,2,11,0.093149606,0.414350092,302 Stainless Steel,1,9433K504,12.54,82.55
19.05,2.3368,133.35,6,30,0.485275591,2.158613371,302 Stainless Steel,1,9433K505,12,82.55
12.7,1.5748,151.892,3,16,0.19019685,0.846037741,302 Stainless Steel,1,9433K507,10.44,85.73
12.7,1.8288,105.664,6.49,16.89,0.522440945,2.323933104,302 Stainless Steel,1,9433K402,11.85,85.73
6.096,0.6604,222.504,0.25,2.75,0.019685039,0.087563418,302 Stainless Steel,3,9433K388,12.17,88.90
6.35,0.6604,222.0722,0.33,1.09,0.016889764,0.075129412,316 Stainless Steel,2,1942N323,11.24,88.90
6.35,0.7366,192.0748,0.46,1.51,0.030275591,0.134672536,316 Stainless Steel,2,1942N324,11.24,88.90
6.35,0.7874,175.4886,0.58,1.82,0.043307087,0.192639519,316 Stainless Steel,2,1942N325,11.24,88.90
6.35,0.8636,158.2166,0.71,2.38,0.071496063,0.318030333,316 Stainless Steel,2,1942N326,11.24,88.90
6.35,1.0414,121.92,1.05,7.95,0.208661417,0.928172227,302 Stainless Steel,1,9433K274,5.38,88.90
6.35,1.0414,133.35,0.87,4.1,0.20003937,0.88981945,316 Stainless Steel,2,1942N328,11.55,88.90
9.144,1.2446,154.178,1,11,0.154133858,0.68562156,302 Stainless Steel,5,9433K818,15.41,88.90
9.144,1.397,133.858,1.33,14.66,0.29515748,1.312925884,302 Stainless Steel,3,9433K836,13.34,88.90
9.144,1.4732,130.048,1.57,17.51,0.386968504,1.721321664,302 Stainless Steel,3,9433K854,14.56,88.90
9.525,1.0414,167.64,0.9,5.3,0.055748031,0.247979599,302 Stainless Steel,1,9433K302,6.5,88.90
9.525,1.2446,140.462,1.5,8.9,0.143661417,0.639037822,302 Stainless Steel,1,9433K308,6.68,88.90
12.7,0.9398,345.186,0.33,3.67,0.013110236,0.058317236,302 Stainless Steel,3,9433K908,14.4,88.90
12.7,1.0414,287.528,0.42,4.83,0.022952756,0.102098945,302 Stainless Steel,3,9433K921,14.4,88.90
12.7,1.143,244.856,0.58,6.25,0.036062992,0.160416181,302 Stainless Steel,3,9433K926,16.18,88.90
12.7,1.2446,219.456,0.73,8.12,0.055748031,0.247979599,302 Stainless Steel,3,9433K941,14.62,88.90
12.7,1.397,182.626,1,10.91,0.10496063,0.466888143,302 Stainless Steel,3,9433K952,14.6,88.90
12.7,1.6002,154.432,1.42,15.66,0.216456693,0.96284734,302 Stainless Steel,3,9433K961,16.7,88.90
12.7,1.7526,141.224,1.82,20.17,0.350905512,1.560905483,302 Stainless Steel,2,9433K972,14.38,88.90
12.7,1.905,131.064,2.29,25.41,0.547677165,2.436189405,302 Stainless Steel,2,9433K985,14.74,88.90
15.875,1.8288,162.56,3,18,0.203149606,0.90365447,302 Stainless Steel,1,9433K568,13.17,88.90
19.05,1.2446,350.266,0.49,5.51,0.019685039,0.087563418,302 Stainless Steel,2,1942N781,13.82,88.90
19.05,1.397,246.634,0.8,6.2,0.034212598,0.15218522,302 Stainless Steel,1,9433K336,11.61,88.90
19.05,1.6002,229.87,1,10.66,0.065590551,0.291761308,302 Stainless Steel,2,1942N787,13.66,88.90
19.05,1.7526,205.74,1.29,14.38,0.111496063,0.495959197,302 Stainless Steel,2,1942N796,13.76,88.90
19.05,1.905,180.086,1.58,17.24,0.170551181,0.75864945,302 Stainless Steel,2,1942N803,13.75,88.90
19.05,2.159,141.986,2.8,20.95,0.342125984,1.521852198,302 Stainless Steel,1,9433K333,10.23,88.90
19.05,2.413,141.478,3.09,34.33,0.593582677,2.640387295,302 Stainless Steel,1,1942N811,8.93,88.90
19.05,2.667,129.794,4.12,45.78,1.016653543,4.522300267,302 Stainless Steel,1,1942N822,10.77,88.90
19.05,2.921,120.904,5.22,58.05,1.652874016,7.352349924,302 Stainless Steel,1,1942N831,8.85,88.90
19.05,3.175,114.3,6.59,73.25,2.620354331,11.65591677,302 Stainless Steel,1,1942N842,9.88,88.90
21.59,1.6002,271.78,0.83,9.41,0.045905512,0.20419789,302 Stainless Steel,2,1942N854,16.02,88.90
21.59,2.159,170.942,2,21.57,0.239409449,1.064946285,302 Stainless Steel,1,1942N868,9.83,88.90
22.225,1.6002,230.378,1,7.8,0.047874016,0.212954232,302 Stainless Steel,1,9433K323,8.74,88.90
22.225,1.905,173.482,1.7,12.7,0.13,0.57826881,302 Stainless Steel,1,9433K332,9.48,88.90
22.225,2.159,151.384,2.4,18,0.249724409,1.110829516,302 Stainless Steel,1,9433K334,10.42,88.90
22.225,2.3114,146.05,5.12,23.35,0.318503937,1.416776097,302 Stainless Steel,1,94135K56,6.29,88.90
24.384,3.048,110.7186,13.32,36.6,1.067322835,4.747688504,302 Stainless Steel,1,9433K911,6.44,88.90
25.4,1.905,228.346,1.17,13.08,0.085275591,0.379324725,302 Stainless Steel,1,1942N882,10.05,88.90
25.4,2.667,152.146,3.17,35.19,0.50503937,2.246527043,302 Stainless Steel,2,1942N909,17.01,88.90
25.4,2.921,139.7,4.08,45.23,0.81003937,3.603234635,302 Stainless Steel,1,1942N922,8.85,88.90
25.4,3.7592,115.57,8.06,89.61,3.046692913,13.55236527,302 Stainless Steel,1,1942N961,13.32,88.90
15.875,2.413,125.222,11,42,0.961574803,4.277297824,302 Stainless Steel,1,9433K508,14.41,92.08
12.7,1.3716,196.85,2,9.9,0.081102362,0.360761281,302 Stainless Steel,1,9433K509,11.49,95.25
14.2748,1.8288,156.21,4,21,0.272519685,1.212227954,302 Stainless Steel,1,9433K569,11.28,95.25
19.05,2.667,115.824,13.12,32.16,0.928740157,4.131242044,302 Stainless Steel,1,9433K411,5.34,95.25
25.4,3.048,119.634,12.83,35.24,0.919685039,4.090962871,302 Stainless Steel,1,9433K414,9.47,95.25
6.096,0.6604,257.556,0.25,2.75,0.016417323,0.07302789,302 Stainless Steel,3,9433K389,11.74,101.60
6.096,0.9398,162.052,0.67,7.25,0.108228346,0.48142367,302 Stainless Steel,3,9433K638,11.64,101.60
6.096,1.0414,147.574,0.87,9.7,0.193503937,0.860748395,302 Stainless Steel,3,9433K649,11.42,101.60
6.35,0.6604,256.413,0.33,1.09,0.014527559,0.064621802,316 Stainless Steel,2,1942N329,11.24,101.60
6.35,0.7874,201.8538,0.58,1.82,0.037401575,0.166370493,316 Stainless Steel,2,1942N332,11.24,101.60
6.35,0.8636,181.991,0.71,2.38,0.061653543,0.274248624,316 Stainless Steel,2,1942N333,11.55,101.60
6.35,0.9398,165.5318,1.89,5,0.097716535,0.434664805,316 Stainless Steel,2,1942N334,11.55,101.60
9.144,0.9398,256.032,0.42,4.91,0.029527559,0.131345126,302 Stainless Steel,3,9433K754,15.07,101.60
9.144,1.143,197.358,0.75,8.5,0.082007874,0.364789198,302 Stainless Steel,5,9433K801,15.56,101.60
9.144,1.2446,178.054,1,11,0.131181102,0.583522615,302 Stainless Steel,5,9433K819,16.19,101.60
9.144,1.397,154.94,1.33,14.66,0.252519685,1.123263521,302 Stainless Steel,3,9433K837,13.52,101.60
9.525,1.3716,154.94,3,14,0.196850394,0.875634176,302 Stainless Steel,1,9433K511,9.63,101.60
11.0998,1.3716,180.34,2,12,0.12011811,0.534311974,302 Stainless Steel,1,9433K512,7.69,101.60
12.7,0.9398,408.432,0.33,3.67,0.00984252,0.043781709,302 Stainless Steel,3,9433K909,13.97,101.60
12.7,1.143,289.306,0.58,6.25,0.029527559,0.131345126,302 Stainless Steel,3,9433K927,16.18,101.60
12.7,1.2446,257.81,0.73,8.12,0.045905512,0.20419789,302 Stainless Steel,3,9433K942,14.62,101.60
12.7,1.397,208.28,2,11,0.082992126,0.369167369,302 Stainless Steel,1,9433K572,11.57,101.60
12.7,1.5748,174.5996,3,16,0.18503937,0.823096126,302 Stainless Steel,1,9433K571,12.11,101.60
12.7,1.7526,164.084,1.82,20.17,0.291889764,1.298390357,302 Stainless Steel,2,9433K973,16,101.60
12.7,1.905,151.638,2.29,25.41,0.462401575,2.05686468,302 Stainless Steel,2,9433K986,16,101.60
14.2748,1.3716,243.84,1,8.7,0.052559055,0.233794325,302 Stainless Steel,1,9433K513,11.28,101.60
15.875,1.397,235.204,1,7.4,0.047913386,0.213129358,302 Stainless Steel,1,9433K325,8.85,101.60
15.875,2.3114,144.78,9,36,0.633188976,2.816564891,302 Stainless Steel,1,9433K514,13.34,101.60
16.2814,2.032,162.052,5.77,26.4,0.332677165,1.479821758,302 Stainless Steel,3,94135K32,14.29,101.60
16.51,1.6002,235.966,1.17,12.33,0.082007874,0.364789198,302 Stainless Steel,2,1942N762,13.36,101.60
18.542,2.3368,158.75,7.59,33.97,0.432677165,1.924643919,302 Stainless Steel,1,94135K33,6.34,101.60
19.05,1.6002,275.336,1,10.66,0.055748031,0.247979599,302 Stainless Steel,2,1942N788,16.09,101.60
19.05,1.7526,246.38,1.29,14.38,0.091811024,0.40839578,302 Stainless Steel,2,1942N797,15.24,101.60
19.05,1.905,214.63,1.58,17.24,0.137755906,0.612768797,302 Stainless Steel,2,1942N804,15.54,101.60
19.05,2.159,166.37,2.8,20.95,0.280511811,1.247778701,302 Stainless Steel,1,9433K337,11.72,101.60
19.05,2.413,165.608,3.09,34.33,0.488661417,2.173674279,302 Stainless Steel,1,1942N812,9.4,101.60
19.05,2.667,152.4,4.12,45.78,0.81988189,3.647016344,302 Stainless Steel,1,1942N823,10.88,101.60
19.05,2.921,140.97,5.22,58.05,1.341338583,5.966571277,302 Stainless Steel,1,1942N832,10.88,101.60
19.05,3.175,132.588,6.59,73.25,2.141535433,9.526024203,302 Stainless Steel,1,1942N843,12.75,101.60
21.336,2.6924,152.654,10.13,43.65,0.617716535,2.747740045,302 Stainless Steel,1,94135K34,6.54,101.60
21.59,1.905,241.046,1.42,15.33,0.098385827,0.437641961,302 Stainless Steel,2,1942N86,15.85,101.60
22.225,1.905,208.788,1.7,12.7,0.102637795,0.456555659,302 Stainless Steel,1,9433K335,11.16,101.60
22.225,2.159,180.34,2.4,18,0.198425197,0.88263925,302 Stainless Steel,1,9433K338,12.28,101.60
24.384,3.0734,148.59,13.94,46.54,0.842913386,3.749465543,302 Stainless Steel,1,94135K84,7.36,101.60
25.4,2.159,234.442,1.67,18.49,0.127913386,0.568987088,302 Stainless Steel,1,1942N891,10.45,101.60
25.4,2.413,198.12,4,24,0.212086614,0.943408261,302 Stainless Steel,1,9433K516,16.35,101.60
25.4,2.667,183.896,3.17,35.19,0.390275591,1.736032318,302 Stainless Steel,1,1942N91,10.88,101.60
25.4,2.8702,157.48,8,40,0.57488189,2.557202048,302 Stainless Steel,1,9433K515,17.26,101.60
25.4,2.921,167.64,4.08,45.23,0.623110236,2.771732421,302 Stainless Steel,1,1942N923,11.97,101.60
25.4,3.175,155.448,5.09,56.54,0.954330709,4.245074486,302 Stainless Steel,1,1942N936,14.42,101.60
25.4,3.429,145.034,6.3,69.96,1.465944882,6.52084771,302 Stainless Steel,1,1942N949,11.4,101.60
25.4,3.7592,136.144,8.06,89.61,2.357992126,10.48887154,302 Stainless Steel,1,1942N962,13.32,101.60
28.575,3.175,164.592,4.59,51.02,0.737913386,3.282402273,302 Stainless Steel,1,1942N991,10.17,101.60
12.7,1.8288,161.29,5,23,0.334015748,1.48577607,302 Stainless Steel,1,9433K573,13.17,107.95
14.2748,2.3368,143.51,12,41,0.826771654,3.67766354,302 Stainless Steel,1,9433K517,13.17,107.95
19.05,2.3368,181.61,6,29,0.318897638,1.418527366,302 Stainless Steel,1,9433K574,16.19,107.95
6.096,0.6604,291.846,0.25,2.75,0.013110236,0.058317236,302 Stainless Steel,3,9433K391,11.64,114.30
6.35,0.7874,228.6,0.58,1.82,0.032795276,0.145880654,316 Stainless Steel,2,1942N338,11.55,114.30
6.35,0.8636,205.8924,0.71,2.38,0.054094488,0.240624272,316 Stainless Steel,2,1942N339,11.55,114.30
9.144,1.2446,202.184,1,11,0.11480315,0.510669852,302 Stainless Steel,5,9433K821,15.86,114.30
9.525,1.397,162.306,2,11.7,0.201968504,0.898400665,302 Stainless Steel,3,9433K79,8.9,114.30
12.7,0.9398,471.678,0.33,3.67,0.00984252,0.043781709,302 Stainless Steel,3,9433K912,14.88,114.30
12.7,1.143,332.232,0.58,6.25,0.026220472,0.116634472,302 Stainless Steel,3,9433K928,14.7,114.30
12.7,1.397,243.332,1.13,11.31,0.078740157,0.35025367,302 Stainless Steel,3,9433K82,9.81,114.30
12.7,1.6002,204.724,1.42,15.66,0.157401575,0.700157087,302 Stainless Steel,3,9433K962,16.62,114.30
12.7,1.7526,186.436,1.82,20.17,0.255787402,1.137799049,302 Stainless Steel,2,9433K974,15.92,114.30
12.7,1.905,171.958,2.29,25.41,0.40011811,1.779814027,302 Stainless Steel,2,9433K987,16,114.30
15.875,1.6002,228.6,1.5,10.9,0.082125984,0.365314578,302 Stainless Steel,1,9433K328,9,114.30
15.875,1.7526,227.076,1.74,17.17,0.137007874,0.609441387,302 Stainless Steel,3,9433K111,13.88,114.30
15.875,1.8288,210.82,3,18,0.153543307,0.682994657,302 Stainless Steel,1,9433K575,14.1,114.30
16.51,1.6002,272.034,1.17,12.33,0.068858268,0.306296835,302 Stainless Steel,2,1942N763,14.93,114.30
19.05,1.7526,287.274,1.29,14.38,0.075433071,0.335543016,302 Stainless Steel,2,1942N798,15.66,114.30
19.05,1.905,247.396,1.58,17.24,0.11480315,0.510669852,302 Stainless Steel,2,1942N805,16.12,114.30
19.05,2.159,191.008,2.8,20.95,0.236732283,1.05303766,302 Stainless Steel,1,9433K344,13.4,114.30
19.05,2.413,190.754,3.09,34.33,0.406653543,1.808885081,302 Stainless Steel,1,1942N813,9.83,114.30
19.05,2.667,173.736,4.12,45.78,0.698543307,3.107275438,302 Stainless Steel,1,1942N824,10.88,114.30
19.05,2.921,160.274,5.22,58.05,1.151102362,5.120358409,302 Stainless Steel,1,1942N833,10.88,114.30
19.05,3.175,151.13,6.59,73.25,1.813582677,8.067217666,302 Stainless Steel,1,1942N844,12.75,114.30
21.4122,1.8288,272.796,2,13,0.071259843,0.316979572,302 Stainless Steel,1,9433K518,14.09,114.30
21.59,1.905,282.956,1.42,15.33,0.082007874,0.364789198,302 Stainless Steel,1,1942N861,9.07,114.30
22.225,1.905,242.824,1.7,12.7,0.085511811,0.380375486,302 Stainless Steel,1,9433K339,12.47,114.30
22.225,2.159,207.264,2.4,18,0.167637795,0.745690064,302 Stainless Steel,1,9433K346,13.59,114.30
25.4,1.905,335.534,1.17,13.08,0.055748031,0.247979599,302 Stainless Steel,1,1942N884,9.72,114.30
25.4,2.4384,250.19,4,26,0.164685039,0.732555552,302 Stainless Steel,1,9433K519,18.76,114.30
25.4,2.667,215.646,3.17,35.19,0.31484252,1.400489301,302 Stainless Steel,1,1942N911,10.88,114.30
25.4,2.921,195.326,4.08,45.23,0.508346457,2.261237697,302 Stainless Steel,1,1942N924,12.75,114.30
25.4,3.175,180.086,5.09,56.54,0.780511811,3.471889509,302 Stainless Steel,1,1942N937,14.42,114.30
25.4,3.429,168.148,6.3,69.96,1.180629921,5.251703535,302 Stainless Steel,1,1942N95,15.48,114.30
25.4,3.7592,156.718,8.06,89.61,1.92507874,8.563176863,302 Stainless Steel,1,1942N963,16.42,114.30
28.575,3.175,193.294,4.59,51.02,0.587047244,2.61131624,302 Stainless Steel,1,1942N992,13.55,114.30
31.75,3.7592,174.752,6.62,73.62,1.111771654,4.945406701,302 Stainless Steel,1,8897N127,13.32,114.30
38.1,3.175,218.186,3.5,38.85,0.341062992,1.517123774,302 Stainless Steel,1,8897N134,12.75,114.30
38.1,3.7592,185.42,5.58,62.05,0.796929134,3.544917399,302 Stainless Steel,1,8897N142,14.57,114.30
38.1,4.4958,161.29,9.14,101.54,1.964448819,8.738303698,302 Stainless Steel,1,8897N15,18.27,114.30
12.7,1.3716,255.27,2,9.9,0.062047244,0.275999892,302 Stainless Steel,1,9433K576,11.92,120.65
12.7,1.8288,181.61,5,23,0.295944882,1.316428421,302 Stainless Steel,1,9433K577,12.58,120.65
21.59,2.159,253.746,2,21.57,0.147598425,0.656550505,302 Stainless Steel,1,1942N871,9.33,120.65
22.225,1.905,260.35,1.7,12.7,0.078661417,0.349903417,302 Stainless Steel,1,9433K342,13.03,120.65
22.225,2.159,221.996,2.4,18,0.153937008,0.684745926,302 Stainless Steel,1,9433K348,14.52,120.65
6.096,0.6604,326.644,0.25,2.75,0.013110236,0.058317236,302 Stainless Steel,3,9433K392,11.64,127.00
6.096,1.0414,185.674,0.87,9.7,0.150866142,0.671086033,302 Stainless Steel,3,9433K652,11.27,127.00
6.35,0.6604,325.1962,0.33,1.09,0.011338583,0.050436529,316 Stainless Steel,2,1942N343,11.55,127.00
6.35,0.7366,280.3652,0.46,1.51,0.020354331,0.090540574,316 Stainless Steel,2,1942N344,11.24,127.00
6.35,0.7874,255.4224,0.58,1.82,0.029173228,0.129768985,316 Stainless Steel,2,1942N345,11.55,127.00
6.35,0.8636,229.8192,0.71,2.38,0.048228346,0.214530373,316 Stainless Steel,2,1942N346,11.55,127.00
6.35,0.9398,208.7626,1.89,5,0.076417323,0.339921187,316 Stainless Steel,2,1942N347,11.55,127.00
6.35,1.0414,192.659,0.87,4.1,0.13511811,0.601035299,316 Stainless Steel,2,1942N348,11.55,127.00
9.144,0.8636,379.984,0.36,3.98,0.013110236,0.058317236,302 Stainless Steel,3,9433K737,14.4,127.00
9.144,1.143,248.412,0.75,8.5,0.062322835,0.27722578,302 Stainless Steel,3,9433K803,14.64,127.00
9.144,1.4732,189.484,1.57,17.51,0.255787402,1.137799049,302 Stainless Steel,3,9433K857,15.18,127.00
9.525,1.3716,198.12,3,14,0.153543307,0.682994657,302 Stainless Steel,1,9433K521,10.97,127.00
12.7,0.9398,534.924,0.33,3.67,0.007874016,0.035025367,302 Stainless Steel,3,9433K913,14.72,127.00
12.7,1.0414,442.722,0.42,4.83,0.013110236,0.058317236,302 Stainless Steel,3,9433K924,16.18,127.00
12.7,1.143,375.412,0.58,6.25,0.022952756,0.102098945,302 Stainless Steel,3,9433K929,15.2,127.00
12.7,1.2446,334.01,0.73,8.12,0.036062992,0.160416181,302 Stainless Steel,3,9433K944,14.69,127.00
12.7,1.397,281.94,1,10.91,0.065590551,0.291761308,302 Stainless Steel,3,9433K953,15.47,127.00
12.7,1.6002,227.076,1.74,16.44,0.147244094,0.654974364,302 Stainless Steel,3,9433K91,12.88,127.00
12.7,1.7526,209.55,1.82,20.17,0.222992126,0.991918395,302 Stainless Steel,2,9433K975,16,127.00
12.7,1.905,193.04,2.29,25.41,0.350905512,1.560905483,302 Stainless Steel,2,9433K988,14.88,127.00
14.2748,1.8288,210.82,4,21,0.193818898,0.86214941,302 Stainless Steel,1,9433K522,14.55,127.00
15.875,2.3114,182.88,9,36,0.479173228,2.131468712,302 Stainless Steel,1,9433K523,16.26,127.00
16.51,1.6002,317.246,1.17,12.33,0.062322835,0.27722578,302 Stainless Steel,2,1942N764,14.93,127.00
16.51,1.7526,278.638,1.58,16.49,0.098385827,0.437641961,302 Stainless Steel,2,1942N774,14.28,127.00
19.05,1.6002,319.278,1.2,9.1,0.041062992,0.182657289,302 Stainless Steel,1,9433K341,12.66,127.00
19.05,1.7526,327.914,1.29,14.38,0.065590551,0.291761308,302 Stainless Steel,2,1942N799,14.86,127.00
19.05,1.905,284.988,1.74,18.48,0.106299213,0.472842455,302 Stainless Steel,3,9433K114,11.19,127.00
19.05,2.159,201.676,2.8,20.95,0.207322835,0.922217914,302 Stainless Steel,1,9433K347,14.15,127.00
19.05,2.413,214.884,3.09,34.33,0.354173228,1.57544101,302 Stainless Steel,1,1942N814,9.65,127.00
19.05,2.667,196.342,4.12,45.78,0.60015748,2.669633477,302 Stainless Steel,1,1942N825,10.78,127.00
19.05,2.921,180.34,5.22,58.05,0.990433071,4.405665794,302 Stainless Steel,1,1942N834,10.88,127.00
19.05,3.175,169.418,6.59,73.25,1.570905512,6.987735853,302 Stainless Steel,1,1942N845,12.75,127.00
21.59,1.905,322.834,1.42,15.33,0.072165354,0.321007489,302 Stainless Steel,1,1942N862,9.25,127.00
21.59,2.159,270.256,2,21.57,0.137755906,0.612768797,302 Stainless Steel,1,1942N872,9.83,127.00
22.225,1.905,273.05,1.7,12.7,0.07523622,0.334667382,302 Stainless Steel,1,9433K345,13.4,127.00
22.225,2.159,238.252,2.4,18,0.14023622,0.623801787,302 Stainless Steel,1,9433K351,15.46,127.00
25.4,1.905,387.604,1.17,13.08,0.045905512,0.20419789,302 Stainless Steel,1,1942N885,10.05,127.00
25.4,2.159,320.04,1.67,18.49,0.088543307,0.393860252,302 Stainless Steel,1,1942N893,10.35,127.00
25.4,2.413,272.288,2.25,24.99,0.157401575,0.700157087,302 Stainless Steel,1,1942N899,10.88,127.00
25.4,2.667,247.396,3.17,35.19,0.265629921,1.181580757,302 Stainless Steel,1,1942N912,13.5,127.00
25.4,3.175,204.978,5.09,56.54,0.659173228,2.932148603,302 Stainless Steel,1,1942N938,14.42,127.00
25.4,3.429,190.246,6.3,69.96,1.006811024,4.478518558,302 Stainless Steel,1,1942N951,14.88,127.00
25.4,3.7592,177.292,8.06,89.61,1.626653543,7.235715452,302 Stainless Steel,1,1942N964,17.47,127.00
28.575,2.667,272.542,2.83,31.49,0.196771654,0.875283923,302 Stainless Steel,1,1942N984,11.63,127.00
28.575,3.175,222.25,4.59,51.02,0.488661417,2.173674279,302 Stainless Steel,1,1942N993,12.95,127.00
31.75,3.429,219.456,5.15,57.16,0.564094488,2.509217295,302 Stainless Steel,1,8897N119,16.37,127.00
31.75,3.7592,200.66,6.62,73.62,0.908425197,4.040876597,302 Stainless Steel,1,8897N128,16.42,127.00
38.1,3.175,262.636,3.5,38.85,0.259094488,1.152509703,302 Stainless Steel,1,8897N135,13,127.00
38.1,3.7592,218.948,5.58,62.05,0.613267717,2.727950713,302 Stainless Steel,1,8897N143,15.8,127.00
38.1,4.4958,187.198,9.14,101.54,1.538110236,6.841855199,302 Stainless Steel,1,8897N151,16.45,127.00
44.45,5.2578,173.736,12.15,135.09,2.63019685,11.69969848,302 Stainless Steel,1,8897N174,25.75,127.00
9.144,1.143,275.082,0.75,8.5,0.055748031,0.247979599,302 Stainless Steel,3,9433K804,14.14,139.70
9.144,1.397,220.472,1.33,14.66,0.170551181,0.75864945,302 Stainless Steel,3,9433K84,13.45,139.70
12.7,1.3716,297.18,2,9.9,0.05511811,0.245177569,302 Stainless Steel,1,9433K579,13.25,139.70
14.2748,2.3114,187.96,12,41,0.61519685,2.736531928,302 Stainless Steel,1,9433K578,14.05,139.70
19.05,1.6002,425.45,1,10.66,0.036062992,0.160416181,302 Stainless Steel,1,1942N79,8.9,139.70
19.05,1.905,276.86,2,14.8,0.093385827,0.415400853,302 Stainless Steel,1,9433K343,13.4,139.70
19.05,2.413,240.284,3.09,34.33,0.311574803,1.385953774,302 Stainless Steel,1,1942N815,12.17,139.70
19.05,2.921,200.406,5.22,58.05,0.869094488,3.865924888,302 Stainless Steel,1,1942N835,14.4,139.70
21.59,2.159,313.944,2,21.57,0.118070866,0.525205379,302 Stainless Steel,1,1942N873,11.42,139.70
22.225,2.159,266.446,2.4,18,0.123149606,0.547796741,302 Stainless Steel,1,9433K352,15.57,139.70
25.4,2.413,318.262,2.25,24.99,0.134448819,0.598058142,302 Stainless Steel,1,1942N9,9.58,139.70
25.4,2.667,279.146,3.17,35.19,0.229566929,1.021164576,302 Stainless Steel,1,1942N913,14.4,139.70
25.4,2.921,250.698,4.08,45.23,0.370590551,1.6484689,302 Stainless Steel,1,1942N926,14.9,139.70
25.4,3.175,229.616,5.09,56.54,0.573937008,2.552999004,302 Stainless Steel,1,1942N939,17.5,139.70
