OD,Dia.,Lg. Max,Min.,Max.,"Rate, lbs./mm",Rate N/mm,Material,Pkg. Qty.,Part Number,Pkg.,Lg.
8,1.6,112.84,8.71,32.82,1.104,4.910836663,Music-Wire Steel,2,3630N205,13.38,13.00
20,2.8,146.4,13.87,65.87,1.104,4.910836663,Music-Wire Steel,1,3630N382,10.85,10.00
22,4.5,113.9,71.72,213.79,10.948,48.69913024,Music-Wire Steel,1,3630N405,11.75,11.00
14,2,157,7.35,36.87,0.528,2.348661013,Music-Wire Steel,1,3630N318,9.75,9.00
16,3.2,119.9,34.85,114.65,4.586,20.39954433,Music-Wire Steel,1,3630N346,10.8,10.00
25,5,128,85.08,249.54,11.173,49.69998011,Music-Wire Steel,1,3630N422,11.43,11.00
17,1.6,325,2,16.64,0.067,0.298030848,Music-Wire Steel,2,3630N354,16.45,16.00
20,4,148.3,54.45,170.18,5.71,25.39934542,Music-Wire Steel,1,3630N388,11.85,11.00
36,5,178.5,43.55,181.65,2.99,13.30018263,Music-Wire Steel,1,3630N454,14.67,14.00
20,2.8,219,13.87,65.87,0.69,3.069272915,Music-Wire Steel,1,3630N383,12.17,12.00
25,5,183.7,85.08,249.54,7.149,31.80033633,Music-Wire Steel,1,3630N423,12.98,12.00
13,1.2,525.31,1.08,9.49,0.022,0.097860876,Music-Wire Steel,2,3630N305,17.4,17.00
7,1,290.39,1.84,10.18,0.067,0.298030848,Music-Wire Steel,2,3630N175,14.32,14.00
8,1.6,208.38,8.71,32.82,0.571,2.539934542,Music-Wire Steel,2,3630N207,14.55,14.00
20,4,196.98,54.45,170.18,3.925,17.45926984,Music-Wire Steel,1,3630N389,11.76,11.00
13,2.5,241.3,19.84,71.26,1.068,4.750700685,Music-Wire Steel,1,3630N313,10.48,10.00
15,2.2,306.54,9.35,44.51,0.315,1.401189809,Music-Wire Steel,1,3630N342,11.02,11.00
25,5,242.44,85.08,249.54,4.919,21.88080213,Music-Wire Steel,1,3630N424,13.57,13.00
30,2.8,538,6.01,44.96,0.117,0.520441929,Music-Wire Steel,1,3630N441,13.83,13.00
32,4.5,337,36.12,153.99,1.126,5.008697539,Music-Wire Steel,1,3630N446,17.47,17.00
10,0.9,804.84,0.57,5.4,0.009,0.040033995,Music-Wire Steel,2,3630N241,13.53,13.00
20,4,269.32,54.45,170.18,2.761,12.28153988,Music-Wire Steel,1,3630N39,12.3,12.00
25,3.6,357.31,24.19,106.33,0.683,3.038135363,Music-Wire Steel,1,3630N42,12.78,12.00
14,2,397.35,7.35,36.87,0.187,0.831817442,Music-Wire Steel,1,3630N321,10.93,10.00
28,4,396.15,29.41,126.79,0.737,3.27833933,Music-Wire Steel,1,3630N436,17.13,17.00
40,3.6,709,9.14,68.34,0.133,0.591613475,Music-Wire Steel,1,3630N461,23.11,23.00
25,5,331.61,85.08,249.54,3.455,15.36860568,Music-Wire Steel,1,3630N425,13.95,13.00
17,1.6,907.41,2,16.64,0.025,0.11120554,Music-Wire Steel,1,3630N357,9.12,9.00
18,2.5,504.36,10.89,53.28,0.211,0.938574761,Music-Wire Steel,1,3630N364,10.88,10.00
50,4.5,858,14.28,101.39,0.166,0.738404788,Music-Wire Steel,1,3630N471,21.49,21.00
55,5,921,18.05,122.07,0.189,0.840713885,Music-Wire Steel,1,3630N476,25.07,25.00
20,1.8,"1,488.86",2.29,19.56,0.016,0.071171546,Music-Wire Steel,1,3630N379,13.2,13.00
2.8,0.55,10.78,0.99,3.55,1.53,6.805779071,302 Stainless Steel,2,1942N008,$12.95 ,12.00
3.5,0.5,13.82,0.45,2.25,0.44,1.957217511,302 Stainless Steel,2,1942N022,11.68,11.00
